,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Fayetteville,35.0527,-78.8784,69.8,83,75,14.97,US,1620171826
358,Bat Khela,34.6167,71.9714,67.24,69,81,4.0,PK,1620171826
359,Hervey Bay,-25.2986,152.8535,73.99,81,1,1.01,AU,1620171310
360,Panzhihua,26.5851,101.7128,67.59,72,20,2.53,CN,1620171827
361,Aklavik,68.2191,-135.0107,26.6,68,75,6.91,CA,1620171280
362,Verkhnevilyuysk,63.4453,120.3167,41.16,85,98,4.65,RU,1620171827
363,Mandiana,10.6333,-8.6833,78.4,72,89,7.67,GN,1620171827
364,Kutum,14.2,24.6667,78.33,31,48,6.6,SD,1620171321
365,Rock Sound,24.9,-76.2,78.44,78,3,10.49,BS,1620171828
366,Petawawa,45.9001,-77.3328,46.99,93,75,2.66,CA,1620171828
367,Ust-Kuyga,70.0167,135.6,31.69,92,100,2.95,RU,1620171828
368,Tūkrah,32.5341,20.5791,67.51,56,51,12.33,LY,1620171828
369,Plérin,48.5425,-2.7798,44.01,84,23,4.0,FR,1620171829
370,Shenjiamen,29.9576,122.298,62.1,76,90,9.04,CN,1620171343
371,Xiuyan,40.2928,123.2744,57.34,31,35,14.32,CN,1620171829
372,Mbanza-Ngungu,-5.25,14.8667,68.25,98,100,2.01,CD,1620171829
373,Sitka,57.0531,-135.33,46.4,71,75,3.44,US,1620171293
374,Oudtshoorn,-33.5907,22.2014,62.6,88,75,11.5,ZA,1620171830
375,Perth,-31.9333,115.8333,60.01,94,75,4.61,AU,1620171371
376,Eyl,7.9803,49.8164,83.71,72,84,5.75,SO,1620171394
377,Esso,55.9333,158.7,31.68,80,22,3.18,RU,1620171830
378,Viedma,-40.8135,-62.9967,45.93,65,61,7.47,AR,1620171354
379,Muzaffarpur,26.1167,85.4,71.6,73,40,9.31,IN,1620171831
380,Evanston,42.0411,-87.6901,54.0,66,90,12.66,US,1620171540
381,Krasnogorskiy,54.6025,61.231,56.21,56,100,8.08,RU,1620171832
382,Gilbués,-9.8317,-45.3439,78.82,51,61,2.15,BR,1620171832
383,Ekhabi,53.5102,142.9671,33.93,65,46,11.36,RU,1620171832
384,Vardø,70.3705,31.1107,33.67,74,99,11.68,NO,1620171398
385,Manono,-7.3,27.4167,67.6,88,74,3.51,CD,1620171833
386,Tricase,39.9304,18.3553,59.0,94,20,2.3,IT,1620171833
387,Vila Velha,-20.3297,-40.2925,71.6,94,20,3.44,BR,1620171201
388,Narodychi,51.2029,29.0823,43.2,68,72,11.14,UA,1620171833
389,Lavrentiya,65.5833,-171.0,28.53,67,8,6.08,RU,1620171295
390,Poço Branco,-5.6228,-35.6628,75.2,94,0,4.61,BR,1620171834
391,Alta Floresta,-9.8756,-56.0861,84.2,61,20,3.44,BR,1620171327
392,Karangampel,-6.4622,108.4519,80.91,77,92,4.18,ID,1620171835
393,Dunedin,-45.8742,170.5036,57.0,81,30,5.99,NZ,1620171400
394,Fuxin,42.0156,121.6589,59.76,14,17,16.51,CN,1620171303
395,Quatre Cocos,-20.2078,57.7625,75.99,100,40,3.44,MU,1620171301
396,Ulagan,50.6321,87.9563,37.8,88,76,1.57,RU,1620171835
397,Belmonte,-15.8631,-38.8828,73.4,88,40,4.61,BR,1620171836
398,Iskateley,67.6803,53.1512,29.21,77,87,13.49,RU,1620171836
399,Matagami,49.7502,-77.6328,48.2,46,90,3.44,CA,1620171836
400,Aflao,6.116,1.1914,80.6,89,20,5.75,TG,1620171836
401,Malakal,9.5334,31.6605,77.16,70,77,8.68,SS,1620171837
402,Trincomalee,8.5711,81.2335,81.16,79,66,4.5,LK,1620171837
403,Hong Kong,22.2855,114.1577,78.01,86,54,5.55,HK,1620171071
404,Hergla,36.0303,10.509,66.99,94,0,2.3,TN,1620171837
405,Ippy,6.2679,21.2247,70.5,92,99,2.3,CF,1620171838
406,Konstantinovka,49.6167,127.9833,53.04,56,63,7.92,RU,1620171838
407,Cantaura,9.3057,-64.3584,74.98,87,100,3.8,VE,1620171838
408,Saint-Paul,-21.0096,55.2707,75.2,88,90,5.75,RE,1620171621
409,Atbasar,51.8,68.3333,54.54,58,100,7.07,KZ,1620171839
410,Rawson,-43.3002,-65.1023,49.53,43,31,9.04,AR,1620171839
411,Puerto del Rosario,28.5004,-13.8627,66.2,55,0,14.97,ES,1620171839
412,Zaysan,47.4667,84.8667,53.73,31,1,5.3,KZ,1620171839
413,Assiut,27.181,31.1837,82.4,28,0,10.36,EG,1620171840
414,Arlit,18.7369,7.3853,83.8,3,0,2.86,NE,1620171840
415,Portachuelo,-17.35,-63.4,80.6,78,40,3.44,BO,1620171840
416,Laguna,38.421,-121.4238,91.99,16,1,5.7,US,1620171283
417,Warmbad,-28.45,18.7333,68.27,43,56,6.71,NA,1620171841
418,Eilat,29.5581,34.9482,84.2,23,0,11.5,IL,1620171560
419,Muros,42.7762,-9.0603,57.99,88,56,5.99,ES,1620171841
420,Riverton,40.5219,-111.9391,68.0,34,40,17.27,US,1620171841
421,Sorong,-0.8833,131.25,81.95,76,96,4.32,ID,1620171394
422,Raja,8.4596,25.678,74.34,77,100,2.42,SS,1620171841
423,Bāsār,27.9833,94.6667,73.4,88,75,3.44,IN,1620171842
424,Ixtapa,20.7,-105.2,78.8,65,1,13.8,MX,1620171317
425,Palpa,-14.5336,-75.1856,72.55,64,92,2.21,PE,1620171842
426,Hambantota,6.1241,81.1185,78.62,82,97,2.8,LK,1620170996
427,Jumla,29.2747,82.1838,48.96,93,89,1.9,NP,1620171843
428,Bemidji,47.4736,-94.8803,52.0,34,1,9.22,US,1620171140
429,Zaječar,43.9036,22.2641,54.0,43,97,1.97,RS,1620171844
430,Christchurch,-43.5333,172.6333,69.01,52,9,3.44,NZ,1620171137
431,Salisbury,51.0693,-1.7957,42.01,81,68,13.8,GB,1620171241
432,Skjervøy,70.0311,20.9714,31.15,67,1,13.29,NO,1620171844
433,Bariloche,-41.1456,-71.3082,35.6,60,0,5.75,AR,1620171844
434,Gazli,40.1333,63.45,70.02,43,79,8.23,UZ,1620171197
435,Gohpur,26.8833,93.6333,72.21,85,100,3.02,IN,1620171845
436,Galveston,29.3669,-94.9669,82.0,83,75,8.05,US,1620171304
437,Tessalit,20.1986,1.0114,88.25,5,0,10.16,ML,1620171846
438,Calafell,41.2,1.5683,57.0,100,8,4.68,ES,1620171847
439,Ust'-Kulom,61.6864,53.6902,39.49,98,100,5.19,RU,1620171847
440,Volcán,8.7667,-82.6333,64.0,100,98,0.2,PA,1620171847
441,Mezhova,48.2532,36.7347,41.36,77,2,4.32,UA,1620171848
442,Airai,-8.9266,125.4092,64.74,82,100,4.12,TL,1620171285
443,Neiafu,-18.65,-173.9833,84.2,79,75,13.8,TO,1620171124
444,Yenagoa,4.9247,6.2642,76.12,91,91,3.47,NG,1620171336
445,Fairview,40.8126,-73.999,66.2,72,1,5.75,US,1620171848
446,Alice Springs,-23.7,133.8833,59.0,63,95,6.91,AU,1620171281
447,Ketchikan,55.3422,-131.6461,50.0,62,75,12.66,US,1620171065
448,Inta,66.0317,60.1659,29.86,78,89,16.22,RU,1620171848
449,Pisco,-13.7,-76.2167,68.0,88,0,21.85,PE,1620171294
450,Severomuysk,56.1481,113.4267,25.63,73,19,3.33,RU,1620171849
451,Isangel,-19.55,169.2667,80.6,78,20,5.75,VU,1620171249
452,Benjamin Constant,-4.3831,-70.0311,80.6,83,20,2.3,BR,1620171849
453,Tygda,53.1167,126.3333,41.36,93,100,7.16,RU,1620171849
454,Dakar,14.6937,-17.4441,68.0,94,0,4.61,SN,1620171850
455,Bambous Virieux,-20.3428,57.7575,75.99,100,40,3.44,MU,1620171366
456,Ufimskiy,56.7084,58.0517,51.37,69,10,5.61,RU,1620171850
457,Apache Junction,33.4151,-111.5496,93.0,8,1,12.66,US,1620171552
458,Makkah al Mukarramah,21.4267,39.8261,83.12,43,0,3.2,SA,1620171850
459,Morros,-9.4467,-46.3003,78.55,55,99,2.53,BR,1620171851
460,Havøysund,70.9963,24.6622,26.6,74,0,3.44,NO,1620171851
461,Mongomo,1.6274,11.3135,66.7,98,97,2.62,GQ,1620171851
462,Coruripe,-10.1256,-36.1756,75.7,85,50,5.14,BR,1620171851
463,Le Vauclin,14.5452,-60.8388,80.6,74,20,12.66,MQ,1620171852
464,Moose Factory,51.2585,-80.6094,37.4,75,90,9.22,CA,1620171852
465,Margate,51.3813,1.3862,45.0,63,35,4.0,GB,1620171085
466,Māndal,25.45,74.5667,82.92,29,0,15.59,IN,1620171852
467,Nantucket,41.2835,-70.0995,48.2,87,90,18.41,US,1620171852
468,Reinosa,42.9996,-4.138,57.99,88,75,13.8,ES,1620171853
469,Yangi Marg`ilon,40.4272,71.7189,71.6,72,80,2.3,UZ,1620171853
470,Khandagayty,50.7333,92.05,37.54,40,100,6.11,RU,1620171853
471,Kloulklubed,7.0419,134.2556,82.4,78,75,8.05,PW,1620171854
472,Biak,-0.9131,122.8766,81.64,70,27,4.45,ID,1620171381
473,Magadan,59.5667,150.8,33.58,71,33,3.83,RU,1620171854
474,Dongsheng,39.8161,109.9776,50.27,17,1,18.75,CN,1620171855
475,Bonfim,3.0833,-59.95,76.19,84,95,4.9,BR,1620171855
476,Acoyapa,11.9703,-85.1711,86.0,62,40,5.7,NI,1620171855
477,Kushmurun,52.4503,64.6311,59.86,51,100,6.06,KZ,1620171855
478,Radeberg,51.1167,13.9167,50.0,66,0,13.8,DE,1620171856
479,Tongliao,43.6125,122.2653,57.36,31,36,19.86,CN,1620171856
480,Trofors,65.5333,13.4063,44.6,49,40,18.41,NO,1620171856
481,Coyhaique,-45.5752,-72.0662,39.2,81,0,6.91,CL,1620171290
482,Barrington,41.7407,-71.3087,54.0,71,90,5.75,US,1620171619
483,Krasnovishersk,60.4078,57.082,52.23,94,99,7.99,RU,1620171857
484,Havre-St-Pierre,50.2334,-63.5986,41.0,75,90,13.8,CA,1620171360
485,Rakkestad,59.4251,11.3454,39.0,82,100,14.56,NO,1620171857
486,Inírida,3.8653,-67.9239,73.62,97,83,2.06,CO,1620171857
487,Pangai,-19.8,-174.35,78.8,89,75,17.27,TO,1620171858
488,Tuatapere,-46.1333,167.6833,55.99,57,11,5.01,NZ,1620171404
489,Watsa,3.0372,29.5355,64.02,98,82,2.35,CD,1620171858
490,Lavumisa,-27.31,31.892,55.4,100,0,1.14,SZ,1620171858
491,Oltu,40.5498,42.0013,51.35,88,100,5.35,TR,1620171858
492,Tura,25.5198,90.2201,69.37,86,100,2.86,IN,1620171339
493,Sinnamary,5.3833,-52.95,77.85,84,62,6.96,GF,1620171859
494,Baker City,44.7749,-117.8344,62.6,34,1,16.11,US,1620171859
495,Tandil,-37.3217,-59.1332,46.99,69,50,1.01,AR,1620171859
496,Kingsport,36.5484,-82.5618,69.8,78,90,11.27,US,1620171849
497,Itarema,-2.9248,-39.9167,75.94,89,92,4.43,BR,1620171339
498,São João da Barra,-21.6403,-41.0511,73.44,84,10,8.14,BR,1620171161
499,Colesberg,-30.72,25.0972,55.24,45,0,2.95,ZA,1620171860
500,Morondava,-20.2833,44.2833,67.12,78,0,10.02,MG,1620171293
501,Grootfontein,-19.5667,18.1167,50.0,87,0,5.77,NA,1620171860
502,Sur,22.5667,59.5289,81.61,72,5,12.86,OM,1620171860
503,Puerto Baquerizo Moreno,-0.9,-89.6,75.83,76,49,9.06,EC,1620171862
504,Okhotsk,59.3833,143.3,38.14,76,47,4.16,RU,1620171862
505,Ginda,30.6945,78.4932,56.1,70,100,6.73,IN,1620171862
506,Ol'ga,43.7444,135.2892,42.31,98,100,2.91,RU,1620171862
507,Richards Bay,-28.783,32.0377,61.29,86,0,5.3,ZA,1620171863
508,Beringovskiy,63.05,179.3167,28.99,80,97,5.84,RU,1620171277
509,Pacific Grove,36.6177,-121.9166,70.0,52,1,9.22,US,1620171181
510,Sørland,67.667,12.6934,40.42,70,100,15.19,NO,1620171346
511,Portree,57.4129,-6.1942,37.0,72,58,8.99,GB,1620171863
512,Liberty,31.8335,-81.5004,82.4,74,40,5.75,US,1620171863
513,Kosonsoy,41.2561,71.5508,71.6,49,56,4.61,UZ,1620171864
514,Caravelas,-17.7125,-39.2481,73.36,86,1,5.7,BR,1620171208
515,El Sauzal de Rodríguez,31.9,-116.6833,68.0,75,49,3.0,MX,1620171864
516,Sayán,-11.1361,-77.1933,71.31,70,95,2.44,PE,1620171864
517,Rupert,42.6191,-113.6772,66.2,27,40,14.97,US,1620171865
518,Basoko,1.2391,23.616,71.76,96,99,3.51,CD,1620171865
519,Samarai,-10.6167,150.6667,81.7,74,51,12.37,PG,1620171865
520,Iwaki,37.05,140.8833,66.0,76,84,4.0,JP,1620171865
521,Sawākin,19.1059,37.3321,82.47,57,0,5.17,SD,1620171866
522,Alzamay,55.5562,98.6644,34.36,77,82,14.47,RU,1620171866
523,Mweka,-4.85,21.5667,68.18,98,62,1.34,CD,1620171866
524,Beyneu,45.3167,55.2,67.24,27,2,8.12,KZ,1620171867
525,Roura,4.7263,-52.3274,79.0,89,75,2.3,GF,1620171867
526,Balkanabat,39.5108,54.3671,66.88,71,20,2.44,TM,1620171867
527,Dzhebariki-Khaya,62.2167,135.8,43.34,69,100,4.99,RU,1620171867
528,Taoudenni,22.6783,-3.9836,90.41,32,96,10.94,ML,1620171868
529,Shalya,57.2471,58.7298,50.02,72,20,6.06,RU,1620171868
530,Buguruslan,53.6554,52.442,51.51,80,100,13.53,RU,1620171868
531,Ambatondrazaka,-17.8333,48.4167,64.69,96,0,0.38,MG,1620171868
532,Manavgat,36.7867,31.4431,75.2,43,0,9.22,TR,1620171869
533,Kampong Thom,12.7111,104.8887,83.46,69,93,4.32,KH,1620171869
534,Valparaíso,-33.0393,-71.6273,62.6,63,0,5.75,CL,1620171134
535,Mangaratiba,-22.9597,-44.0406,73.4,88,0,3.44,BR,1620171785
536,Moindou,-21.6924,165.677,78.8,73,0,4.61,NC,1620171869
537,Yerbogachën,61.2767,108.0108,36.34,98,100,7.14,RU,1620171378
538,Aykhal,66.0,111.5,31.6,83,54,3.4,RU,1620171296
539,Yumen,40.2833,97.2,53.44,7,24,15.32,CN,1620171303
540,Sidi Ben Nour,35.5333,10.9167,66.2,77,0,4.61,TN,1620171870
541,Najrān,17.4924,44.1277,75.2,20,0,2.77,SA,1620171870
542,Tulun,54.5611,100.5792,34.59,62,76,17.02,RU,1620171871
543,Haines Junction,60.7522,-137.5108,48.2,34,73,9.22,CA,1620171280
544,Belyy Yar,53.6039,91.3903,28.4,80,0,4.47,RU,1620171294
545,Constitución,-35.3333,-72.4167,55.58,86,5,3.78,CL,1620171302
546,Pontianak,-0.0333,109.3333,74.61,97,100,1.39,ID,1620171871
547,Chiang Klang,19.2938,100.8617,75.2,94,73,2.3,TH,1620171871
548,Pathalgaon,22.5667,83.4667,70.41,68,46,3.98,IN,1620171872
549,Bealanana,-14.55,48.7333,62.64,97,5,0.4,MG,1620171872
550,Lexington,37.9887,-84.4777,73.4,64,1,8.05,US,1620171718
551,Lagoa,39.05,-27.9833,62.11,89,96,12.46,PT,1620171401
552,Yen Bai,21.7,104.8667,77.36,94,86,1.12,VN,1620171872
553,Griffith,41.5284,-87.4237,50.0,87,90,6.91,US,1620171873
554,Kaeo,-35.1,173.7833,63.73,50,57,4.72,NZ,1620171873
555,Suixi,33.8907,116.7747,63.59,53,83,1.81,CN,1620171873
556,Sembakung,3.8167,117.25,78.8,100,75,5.75,ID,1620171873
557,Kaduqli,11.0167,29.7167,79.11,60,100,5.84,SD,1620171874
558,St. George's,12.0564,-61.7485,77.0,88,75,9.22,GD,1620171874
559,Rāichūr,16.2,77.3667,82.76,50,4,6.6,IN,1620171874
560,Faanui,-16.4833,-151.75,82.69,75,48,14.32,PF,1620171095
